Title,Genre,IMDB Rating,Rating
Alex Strangelove,"Comedy, Drama, Romance",6.3,TV-MA
Ali,"Biography, Drama, Sport",6.8,R
Ali Wong: Baby Cobra,Comedy,7.6,TV-MA
Ali Wong: Hard Knock Wife,Comedy,7.4,TV-MA
Ali's Wedding,"Comedy, Drama, Romance",6.9,TV-MA
Alice Doesn't Live Here Anymore,"Drama, Romance",7.3,PG
Alice Júnior,"Animation, Comedy, Drama",7.0,Not Rated
Alien Contact: Outer Space,Documentary,3.9,Not Rated
Alien Warfare,"Action, Sci-Fi",2.6,Not Rated
Alien Xmas,"Animation, Short, Adventure, Comedy, Family, Fantasy, Sci-Fi",6.2,TV-Y
Aliens Ate My Homework,"Adventure, Comedy, Family, Fantasy, Sci-Fi",4.6,PG
All About Nina,"Comedy, Drama, Romance",6.1,R
All Because of You,"Action, Comedy, Romance",4.0,TV-14
All Day and a Night,Drama,5.8,R
All Dogs Go to Heaven,"Animation, Comedy, Drama",6.8,G
All Hallows' Eve,"Horror, Thriller",5.1,Unrated
All Light Will End,"Horror, Thriller",3.9,TV-MA
All of You,"Drama, Romance",5.5,TV-14
All the Boys Love Mandy Lane,"Horror, Mystery, Thriller",5.5,R
All the Bright Places,"Drama, Romance",6.5,TV-MA
All the Devil's Men,"Action, Thriller",5.1,R
All Together Now,Drama,6.5,PG
Alles ist gut,Drama,6.5,TV-MA
Sabrina Carpenter: Almost Love,"Short, Music",7.5,Not Rated
Alone in Berlin,"Drama, History, War",6.5,R
Along Came a Spider,"Drama, Thriller",6.4,R
Alpha and Omega 2: A Howl-iday Adventure,"Animation, Action, Adventure, Comedy, Family",5.0,Not Rated
Altered Carbon: Resleeved,"Animation, Action, Crime",6.5,TV-MA
Always a Bridesmaid,"Comedy, Romance",5.7,TV-PG
Always Be My Maybe,"Comedy, Romance",6.8,PG-13
Amandla! A Revolution in Four Part Harmony,"Documentary, History, Music",7.3,PG-13
Amar Akbar Anthony,"Action, Comedy, Drama",7.5,Not Rated
Amar Akbar Anthony,"Action, Comedy, Drama",7.5,Not Rated
Amateur,"Comedy, Crime, Drama",6.9,R
American Anarchist,Documentary,5.8,TV-MA
American Assassin,"Action, Thriller",6.2,R
American Beauty,Drama,8.3,R
American Heist,"Action, Crime, Drama",5.0,R
American History X,Drama,8.5,R
American Honey,"Adventure, Drama, Romance",7.0,R
American Psycho,"Comedy, Crime, Drama",7.6,R
American Son,Drama,5.8,TV-MA
Amy,"Documentary, Biography, Music",7.8,R
Amy Schumer: Growing,Comedy,5.3,TV-MA
Amy Schumer: The Leather Special,Comedy,2.9,TV-MA
An American Tail,"Animation, Adventure, Comedy",6.9,G
An American Tail: Fievel Goes West,"Animation, Adventure, Family",6.5,G
An American Tail: The Mystery of the Night Monster,"Animation, Adventure, Family, Mystery",6.0,G
