Title,Genre,IMDB Rating,Rating
Cat on a Hot Tin Roof,Drama,8.0,Not Rated
Catch Me If You Can,"Biography, Crime, Drama",8.1,PG-13
Catching Feelings,"Comedy, Drama, Romance",5.7,TV-MA
Catfight,"Action, Comedy, Drama",5.9,Not Rated
Cats,"Comedy, Drama, Family",2.7,PG
Center Stage,"Drama, Music, Romance",6.7,PG-13
Chaahat,"Drama, Romance",5.5,Not Rated
Chaar Sahibzaade,"Animation, History",8.0,Unrated
Chal Bhaag,Comedy,4.2,Not Rated
Chalte Chalte,"Drama, Romance",6.6,Not Rated
Chamatkar,"Comedy, Drama, Fantasy",6.6,Not Rated
Chameli,Drama,7.0,Not Rated
Change in the Air,Drama,5.6,PG
Chappaquiddick,"Biography, Drama, History",6.5,PG-13
Chappie,"Action, Crime, Drama",6.8,R
Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.6,PG
Charlie's Angels,"Action, Adventure, Comedy",5.6,PG-13
Charlie's Angels: Full Throttle,"Action, Adventure, Comedy",4.9,PG-13
Charlotte's Web,"Adventure, Comedy, Family",6.3,G
Charming,"Animation, Adventure, Comedy",5.6,TV-Y7
Chashme Baddoor,"Comedy, Drama",5.4,Not Rated
Chashme Buddoor,"Comedy, Family, Romance",8.0,Not Rated
Chasing Amy,"Comedy, Drama, Romance",7.2,R
Chasing Trane: The John Coltrane Documentary,"Documentary, Biography, Music",7.3,Not Rated
Chef,"Adventure, Comedy, Drama",7.3,R
Chennai Express,"Action, Adventure, Comedy",6.1,Not Rated
Chernobyl Diaries,"Horror, Mystery, Thriller",5.0,R
Chicken Little,"Animation, Adventure, Comedy",5.7,G
Child's Play,"Fantasy, Horror, Thriller",6.6,R
Chillar Party,"Comedy, Drama, Family",7.5,Not Rated
China Salesman,"Action, Drama",2.9,Not Rated
Chittagong,"Action, Drama, War",7.3,Not Rated
Chitty Chitty Bang Bang,"Adventure, Family, Fantasy",6.9,G
Chloe,"Drama, Mystery, Romance",6.3,R
Chris Brown: Welcome to My Life,Documentary,5.7,Unrated
Chris D'Elia: Incorrigible,Comedy,6.5,TV-MA
Chris D'Elia: Man on Fire,Comedy,6.6,TV-MA
Chris Rock: Tamborine,Comedy,6.6,TV-MA
Chris Tucker Live,"Documentary, Comedy",6.3,TV-MA
Christian Mingle,"Comedy, Drama, Family",4.3,PG
Christine,"Horror, Thriller",6.7,R
A Christmas Crush,"Comedy, Romance",4.6,Unrated
Christmas in the Heartland,Family,5.9,TV-PG
Christmas in the Smokies,"Drama, Family, Romance",5.8,TV-G
Christmas Wedding Planner,Romance,4.4,PG
Christmas with a Prince,Romance,5.2,TV-PG
Christmas with a View,"Drama, Romance",5.2,TV-PG
Christmas with the Kranks,"Comedy, Family",5.4,PG
Christopher Robin,"Animation, Adventure, Comedy",7.3,PG
Chronically Metropolitan,"Comedy, Drama",5.0,Not Rated
Chup Chup Ke,"Comedy, Drama, Romance",6.9,Not Rated
Chupke Chupke,"Comedy, Drama, Romance",8.3,Not Rated
CIA: Comrade in America,"Action, Adventure, Drama",6.5,Not Rated
Circle,"Drama, Horror, Mystery",6.0,Not Rated
Cirque du Freak: The Vampire's Assistant,"Action, Adventure, Fantasy",5.8,PG-13
Citation,"Drama, Thriller",6.2,TV-MA
Cities of Last Things,"Crime, Drama, Sci-Fi",6.2,TV-MA
City of Tiny Lights,"Crime, Drama, Mystery",5.5,Not Rated
Clarence Clemons: Who Do I Think I Am?,Documentary,6.2,Not Rated
Clash of the Titans,"Action, Adventure, Fantasy",5.8,PG-13
Class of '61,"Action, Adventure, Drama",5.5,TV-PG
Class of 83,"Action, Crime, Drama",5.8,TV-14
Class Rank,"Comedy, Drama, Family",6.5,Not Rated
Cleopatra Jones,"Action, Crime, Thriller",5.9,PG
Click,"Comedy, Drama, Fantasy",6.4,PG-13
Clive Davis: The Soundtrack of Our Lives,Documentary,7.5,Not Rated
Closed Circuit,"Crime, Drama, Mystery",6.2,R
Cloud Atlas,"Action, Drama, Mystery",7.4,R
Clouds of Sils Maria,Drama,6.7,R
Cloudy with a Chance of Meatballs,"Animation, Adventure, Comedy",6.9,PG
Cloudy with a Chance of Meatballs 2,"Animation, Adventure, Comedy",6.4,PG
Cloverfield,"Action, Horror, Sci-Fi",7.0,PG-13
Coach Carter,"Biography, Drama, Sport",7.3,PG-13
Code 8,"Action, Crime, Drama",6.1,Not Rated
Code Name: The Cleaner,"Action, Comedy, Crime",4.6,PG-13
Coin Heist,"Crime, Drama, Romance",4.8,TV-14
Cold Feet,"Comedy, Drama, Romance",8.2,TV-PG
Colin Quinn: The New York Story,Comedy,6.8,TV-MA
Colin Quinn: Unconstitutional,Comedy,7.1,Not Rated
Colonia,"Biography, Drama, History",7.1,R
Come and Find Me,"Drama, Mystery, Thriller",5.7,R
Come Sunday,"Biography, Drama",6.0,TV-14
Comedians in Cars Getting Coffee,"Animation, Comedy, Family",8.1,TV-14
Como caído del cielo,"Comedy, Drama, Musical",6.4,TV-14
Company,"Action, Crime, Drama",8.0,Not Rated
Compulsion,"Biography, Crime, Drama",7.4,Approved
Concussion,"Biography, Drama, Sport",7.1,PG-13
Conor McGregor: Notorious,"Documentary, Biography, Sport",7.2,R
"Truth or Consequences, N.M.","Action, Crime, Drama",6.3,R
Cool Hand Luke,"Crime, Drama",8.1,GP
Cop and a Half: New Recruit,"Action, Adventure, Comedy, Crime, Family, Mystery",5.3,PG
Cop Car,"Crime, Thriller",6.3,R
Cops and Robbers,"Crime, Comedy",6.3,PG
Coraline,"Animation, Drama, Family",7.7,PG
Counterfeiting in Suburbia,Thriller,4.9,TV-14
Covered-Alive in Asia,Documentary,5.6,Not Rated
Cowspiracy: The Sustainability Secret,Documentary,8.2,Not Rated
Craig Ferguson: Tickle Fight,Comedy,6.6,TV-MA
Crash,"Crime, Drama, Thriller",7.7,R
Crazy People,"Comedy, Drama",6.1,R
Crd,"Drama, Romance",6.2,Not Rated
Creep,"Horror, Thriller",6.4,R
Creep 2,"Crime, Drama, Horror",6.5,Not Rated
Cristela Alonzo: Lower Classy,Comedy,6.4,TV-MA
"Crouching Tiger, Hidden Dragon: Sword of Destiny","Action, Adventure, Drama",6.1,PG-13
"Crouching Tiger, Hidden Dragon: Sword of Destiny","Action, Adventure, Drama",6.1,PG-13
Cult of Chucky,"Comedy, Fantasy, Horror",5.2,R
Curtiz,"Biography, Drama, History",6.0,TV-MA
Cut Bank,"Crime, Drama, Thriller",6.1,R
Cutie and the Boxer,"Documentary, Biography",7.2,R
D.L. Hughley: Clear,Comedy,6.8,Unrated
Da 5 Bloods,"Adventure, Drama, War",6.5,R
Da Kath & Kim Code,Comedy,7.4,TV-14
Dad,"Comedy, Drama",6.3,PG
Daddy Day Care,"Comedy, Family",5.6,PG
Dallas Buyers Club,"Biography, Drama",8.0,R
Dance Dreams: Hot Chocolate Nutcracker,"Documentary, Family",7.1,TV-G
Dangal,"Action, Biography, Drama",8.4,Not Rated
Dangerous Lies,"Drama, Mystery, Thriller",5.3,TV-14
Daniel Sosa: Maleducado,Comedy,6.2,TV-MA
Daniel Sosa: Sosafado,Comedy,5.4,TV-MA
Danny Says,"Documentary, Biography, History",6.7,Unrated
Dante's Peak,"Action, Adventure, Thriller",6.0,PG-13
Danur: I Can See Ghosts,Horror,5.4,TV-14
Dany Boon: Des Hauts-De-France,Comedy,6.2,TV-MA
Darc,"Action, Crime, Thriller",5.8,TV-MA
Dark Forces: Shadow People,Mystery,3.9,TV-MA
Dark Places,"Crime, Drama, Mystery",6.2,R
Dark Skies,"Horror, Sci-Fi, Thriller",6.3,PG-13
Dark Waters,"Biography, Drama, History",7.6,PG-13
Darna Mana Hai,Horror,6.3,Not Rated
Daughters of the Dust,"Drama, History, Romance",6.6,TV-PG
Dave Chappelle: Equanimity,Comedy,8.2,TV-MA
Dave Chappelle: Sticks & Stones,Comedy,8.5,TV-MA
David Attenborough: A Life on Our Planet,"Documentary, Biography",9.0,PG
David Foster: Off the Record,Documentary,6.8,TV-MA
Day of the Dead: Bloodline,"Action, Drama, Horror",3.4,R
De Palma,"Documentary, Biography",7.4,R
Dead in a Week (Or Your Money Back),"Comedy, Drama",6.3,TV-MA
Dead Kids,Thriller,5.5,TV-MA
Deadcon,"Drama, Horror, Mystery",2.8,Not Rated
James Dean,"Biography, Drama",7.3,PG
Dear Dracula,"Animation, Short, Adventure, Family",5.3,Not Rated
Dear Santa,Drama,6.5,TV-PG
Dear Zindagi,"Drama, Romance",7.5,Not Rated
Death at a Funeral,Comedy,7.4,R
Death House,"Action, Crime, Horror",3.0,R
Death Note,"Action, Crime, Drama",4.4,TV-MA
Death of Me,"Horror, Mystery, Thriller",4.4,R
Death to 2020,Comedy,6.8,TV-MA
Deathgrip,Sport,6.3,Not Rated
Dedh Ishqiya,"Comedy, Drama, Romance",7.1,Not Rated
Deep,"Animation, Adventure, Comedy",4.2,PG
Def Comedy Jam 25,"Documentary, Comedy",6.7,TV-MA
Defiance,"Action, Drama, History",7.2,R
Defying the Nazis: The Sharps' War,"Documentary, Biography, History",7.1,PG
Degrassi: Next Class,"Drama, Romance",6.9,TV-PG
Deidra & Laney Rob a Train,"Comedy, Crime, Drama",6.1,TV-14
Delhi-6,Drama,6.1,Not Rated
Delhi Belly,"Action, Comedy, Crime",7.6,Not Rated
Delirium,"Horror, Thriller",5.8,R
Demetri Martin: Live (At the Time),"Documentary, Comedy",7.4,TV-MA
Demonic,"Horror, Mystery, Thriller",5.3,R
Den of Thieves,"Action, Crime, Drama",7.0,R
Denis Leary: No Cure for Cancer,"Documentary, Comedy",7.5,R
Desire,"Comedy, Crime, Romance",7.1,Approved
Desolation,Thriller,4.8,TV-MA
Desperados,"Comedy, Romance",5.2,TV-MA
Despido procedente,Comedy,5.0,TV-MA
Destiny,"Crime, Drama, Fantasy",6.2,Approved
Detention,"Adventure, Comedy, Fantasy",5.7,R
Detour,"Crime, Drama, Film-Noir",7.4,Passed
Deuces,"Action, Crime, Drama",5.9,TV-MA
Dev.D,"Comedy, Drama, Romance",8.0,Not Rated
Deviant Love,Thriller,3.5,TV-14
Devil's Gate,"Horror, Sci-Fi, Thriller",5.1,Not Rated
Devilman: Crybaby,"Animation, Action, Fantasy",7.6,TV-MA
Devrai,Drama,7.8,Not Rated
Dhamaal,"Action, Adventure, Comedy",7.4,Not Rated
Dharam Sankat Mein,Comedy,6.3,Not Rated
Di Renjie zhi Sidatianwang,"Action, Adventure, Drama",6.4,TV-MA
The Diary of a Chambermaid,"Drama, Romance",6.6,Approved
Die Another Day,"Action, Adventure, Thriller",6.1,PG-13
Dieter Nuhr: Nuhr in Berlin,Comedy,4.7,Not Rated
Dil,"Comedy, Drama, Romance",6.7,Not Rated
Dil Chahta Hai,"Comedy, Drama, Romance",8.1,Not Rated
Dil Dhadakne Do,"Comedy, Drama, Romance",6.9,Not Rated
Dil Se..,"Drama, Romance",7.6,Not Rated
Dilan 1990,"Drama, Romance",7.2,TV-14
Dilan 1991,"Drama, Romance",6.7,TV-14
Dilwale,"Action, Comedy, Drama",5.1,Not Rated
Dinner for Schmucks,Comedy,5.9,PG-13
Disco Dancer,"Drama, Musical, Romance",6.5,PG-13
Disconnect,"Drama, Thriller",7.5,R
Discovering Bigfoot,Documentary,4.0,TV-14
Dismissed,"Drama, Thriller",5.7,Not Rated
District 9,"Action, Sci-Fi, Thriller",7.9,R
Django Unchained,"Drama, Western",8.4,R
Do Dooni Chaar,"Comedy, Drama",7.5,PG
Doctor Zhivago,"Drama, Romance, War",8.0,PG-13
Dog Eat Dog,"Action, Thriller",4.7,Not Rated
Dolemite Is My Name,"Biography, Comedy, Drama",7.3,R
Dolly Kitty Aur Woh Chamakte Sitare,"Comedy, Drama",5.3,TV-MA
Dolly Parton: Here I Am,"Documentary, Music",7.3,TV-14
Dolphin Tale 2,"Drama, Family",6.4,PG
Domino,"Action, Biography, Crime",5.9,R
Don,"Action, Crime, Thriller",7.2,Not Rated
Don 2,"Action, Crime, Thriller",7.1,Not Rated
Don Verdean,"Comedy, Drama",5.4,PG-13
Don't Be Afraid of the Dark,"Fantasy, Horror, Thriller",5.6,R
Don't Go Breaking My Heart,"Comedy, Romance",6.7,TV-G
Don't Knock Twice,"Drama, Fantasy, Horror",5.1,R
Don't Look Down,"Drama, Horror, Mystery, Thriller",4.7,Unrated
Don't Think Twice,"Comedy, Drama",6.7,R
Donald Glover: Weirdo,Comedy,7.4,Not Rated
Donnie Brasco,"Biography, Crime, Drama",7.7,R
Doom,"Action, Horror, Sci-Fi",5.2,R
Doom: Annihilation,"Action, Adventure, Horror",3.7,R
Dostana,"Comedy, Drama, Romance",6.5,Not Rated
Double Jeopardy,"Crime, Drama, Mystery",6.5,R
Doubt,"Drama, Mystery",7.5,PG-13
Dovlatov,"Biography, Drama",6.4,PG-13
Dr. Seuss' the Grinch Musical,"Family, Musical",3.7,TV-PG
DragonHeart,"Action, Adventure, Fantasy",6.5,PG-13
Dragonheart: A New Beginning,"Action, Adventure, Comedy, Family, Fantasy",4.6,PG
Dragonheart: Battle for the Heartfire,"Action, Adventure, Drama",5.3,PG-13
Dragonheart Vengeance,"Action, Adventure, Drama, Fantasy, Sci-Fi",5.3,PG-13
Dragons: Dawn of the Dragon Racers,"Animation, Short, Adventure, Comedy, Family, Fantasy",7.0,TV-PG
Dragons: Rescue Riders: Hunt for the Golden Dragon,"Animation, Adventure, Family",5.4,TV-Y
Dragons: Rescue Riders: Huttsgalor Holiday,"Animation, Family",5.8,TV-Y
Dragons: Rescue Riders: Secrets of the Songwing,"Animation, Adventure, Comedy, Family",5.5,TV-Y
Dream/Killer,"Documentary, Crime",7.4,Not Rated
Dries,"Documentary, Biography",6.9,TV-PG
Drishyam,"Crime, Drama, Mystery",8.2,Not Rated
Drive,"Crime, Drama",7.8,R
Drunk Parents,Comedy,3.9,R
Duck Butter,"Comedy, Drama, Romance",5.3,Not Rated
Duck Duck Goose,"Animation, Adventure, Comedy",5.8,PG
Dude,"Comedy, Drama",5.1,TV-MA
Dukhtar,"Drama, Thriller",7.0,Not Rated
Dumb and Dumberer: When Harry Met Lloyd,Comedy,3.4,PG-13
Dumplin',"Comedy, Drama",6.6,PG-13
Duniya,"Action, Drama",6.9,Not Rated
Duplicate,"Action, Comedy, Crime",5.6,Not Rated
Earth to Echo,"Adventure, Family, Sci-Fi",5.8,PG
Earthquake Bird,"Crime, Drama, Mystery",5.9,R
East Side Sushi,Drama,7.1,PG
Easy A,"Comedy, Drama, Romance",7.0,PG-13
Eat Pray Love,"Biography, Drama, Romance",5.8,PG-13
Echo in the Canyon,"Documentary, Music",6.9,PG-13
Eddie: Strongman,Documentary,7.4,TV-14
Eddie Murphy: Delirious,Comedy,8.2,Not Rated
Eddie Murphy: Raw,"Documentary, Comedy",7.7,R
Edge of Fear,"Action, Crime, Thriller",4.4,Not Rated
Edge of Seventeen,"Comedy, Drama, Romance",6.8,Not Rated
Effie Gray,"Biography, Drama, Romance",6.0,PG-13
Ek Hasina Thi,"Crime, Drama, Mystery",7.5,Not Rated
Ek Main Aur Ekk Tu,"Comedy, Drama, Romance",5.7,Not Rated
El Camino Christmas,"Comedy, Crime, Western",5.7,TV-MA
El Camino: A Breaking Bad Movie,"Action, Crime, Drama",7.3,TV-MA
"El especial de Alex Fernández, el Especial",Comedy,6.7,TV-MA
Elaan,"Action, Crime, Thriller",5.4,Not Rated
Elevator Baby,"Comedy, Drama",7.0,TV-MA
Elf Pets: A Fox Cub's Christmas Tale,Animation,4.7,Not Rated
Elf Pets: Santa's Reindeer Rescue,"Short, Family",5.3,Not Rated
Eli,"Drama, Horror, Mystery",5.7,R
Elizabeth Harvest,"Horror, Sci-Fi, Thriller",5.8,R
Ellen DeGeneres: Relatable,Comedy,6.5,TV-MA
Elliot the Littlest Reindeer,"Animation, Family",5.1,PG
Elstree 1976,Documentary,5.9,Not Rated
Emelie,"Horror, Mystery, Thriller",5.4,Not Rated
Emo the Musical,"Comedy, Music, Musical",6.0,TV-14
Employee of the Month,"Comedy, Romance",5.5,PG-13
End of Watch,"Action, Crime, Drama",7.6,R
Enemy,"Drama, Mystery, Thriller",6.9,R
English Babu Desi Mem,"Comedy, Drama, Musical",4.8,Not Rated
Enola Holmes,"Action, Adventure, Crime",6.6,PG-13
Enter the Dragon,"Action, Crime, Drama",7.7,R
Equals,"Drama, Romance, Sci-Fi",6.1,PG-13
Equilibrium,"Action, Drama, Sci-Fi",7.4,R
Eric Andre: Legalize Everything,Comedy,6.2,TV-MA
Escape from Mr. Lemoncello's Library,Family,5.4,TV-G
Euphoria,Drama,8.4,TV-MA
Eurovision Song Contest: The Story of Fire Saga,"Comedy, Music",6.5,PG-13
Evan Almighty,"Comedy, Family, Fantasy",5.4,PG
Event Horizon,"Horror, Sci-Fi, Thriller",6.7,R
Everything About Her,"Comedy, Drama",7.2,TV-PG
Evolution,"Comedy, Sci-Fi",6.1,PG-13
Ex Machina,"Drama, Sci-Fi, Thriller",7.7,R
Executive Decision,"Action, Adventure, Thriller",6.4,R
Exit Wounds,"Action, Crime, Thriller",5.6,R
Rakuen Tsuiho: Expelled from Paradise,"Animation, Action, Adventure",6.7,TV-14
Expo,"Action, Crime, Drama",4.7,TV-14
Extinction,"Action, Drama, Sci-Fi",5.8,TV-MA
Extraction,"Action, Thriller",6.7,R
"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama",6.7,R
Eye for an Eye,"Crime, Drama, Thriller",6.2,R
F*&% the Prom,"Comedy, Drama",4.2,Not Rated
Fabrizio Copano: Solo pienso en mi,Comedy,4.8,TV-MA
Face 2 Face,Drama,6.8,TV-MA
"Faith, Hope & Love","Comedy, Romance",6.2,PG
Fakta Ladh Mhana,"Action, Drama, Thriller",6.3,Not Rated
Fall Girls,Comedy,4.1,TV-14
Fallen,"Action, Crime, Drama",7.0,R
Falling Inn Love,"Comedy, Romance",5.6,TV-PG
Family Blood,"Drama, Horror, Thriller",4.2,TV-MA
Fanatic,"Horror, Thriller",6.3,Not Rated
Fandry,"Drama, Family",8.3,Not Rated
Fantastica,"Comedy, Fantasy",4.2,G
Fary Is the New Black,Comedy,6.0,TV-MA
Fashion,"Drama, Romance",6.9,Not Rated
Fatal Affair,Thriller,4.5,TV-14
Father Brown,"Crime, Drama, Mystery",7.7,TV-PG
Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",7.6,R
Fearless,"Drama, Thriller",7.1,R
Feel Good,"Comedy, Drama, Romance",7.5,TV-MA
Feel the Beat,"Comedy, Drama, Family",6.3,TV-G
Feo pero Sabroso,Comedy,4.2,TV-MA
Fernando Sanjiao: Hombre,Comedy,6.3,TV-MA
Ferrari Ki Sawaari,"Comedy, Drama, Family",6.4,Not Rated
Ferris Bueller's Day Off,Comedy,7.8,PG-13
Fiddler on the Roof,"Drama, Family, Musical",8.0,G
Fifty,"Drama, Romance",6.0,Not Rated
Filmworker,"Documentary, Biography",7.4,Not Rated
Final Destination,"Horror, Thriller",6.7,R
Final Destination 2,"Horror, Thriller",6.2,R
Final Destination 3,"Horror, Mystery, Thriller",5.8,R
First Impression,Comedy,4.9,Not Rated
First Kill,"Action, Thriller",5.0,R
First Love,"Comedy, Musical",7.0,Approved
First Match,"Drama, Sport",6.4,TV-MA
First They Killed My Father,"Biography, Drama, History",7.2,TV-MA
Firstborn,"Drama, Thriller",6.3,R
Fisherman's Friends,"Comedy, Drama, Music",7.0,PG-13
Five Came Back,"Documentary, Biography, History",8.3,TV-14
Five Nights in Maine,Drama,4.7,Unrated
Fiza,"Action, Crime, Drama",6.1,Not Rated
Flash of Genius,"Biography, Drama",7.0,PG-13
Flock of Four,"Adventure, Comedy, Drama",6.0,Not Rated
Follow Me,"Adventure, Horror, Mystery",5.4,R
For Colored Girls,Drama,6.1,R
For Greater Glory: The True Story of Cristiada,"Drama, History, War",6.6,R
For Love or Money,"Comedy, Drama, Romance",6.2,PG
For the Birds,"Animation, Short, Comedy",8.0,G
For the Love of Benji,"Adventure, Comedy, Drama",6.0,G
For the Love of Spock,"Documentary, Biography",7.6,Not Rated
Forbidden Games: The Justin Fashanu Story,Documentary,6.5,PG-13
Forbidden Planet,"Action, Adventure, Sci-Fi",7.6,G
Force 2,"Action, Adventure, Thriller",6.2,Not Rated
Forensic,"Crime, Mystery, Thriller",6.8,Not Rated
Four Christmases,"Comedy, Drama, Romance",5.7,PG-13
Four Sisters and a Wedding,"Comedy, Drama",7.3,Not Rated
Four Weddings and a Funeral,"Comedy, Drama, Romance",7.1,R
Fracture,"Crime, Drama, Thriller",7.2,R
Fractured,"Mystery, Thriller",6.4,TV-MA
Frances Ha,"Comedy, Drama, Romance",7.5,R
Franco Escamilla: Bienvenido al Mundo,Comedy,7.1,TV-MA
Franco Escamilla: Por la anécdota,Comedy,7.0,TV-MA
Frank,"Comedy, Drama, Music",7.0,R
"Frankenstein's Monster's Monster, Frankenstein",Comedy,5.9,TV-14
Frat Star,"Comedy, Drama",3.6,TV-MA
Freak Show,"Comedy, Drama",6.6,Not Rated
Freaks,"Drama, Horror",7.9,Not Rated
Freaks: You're One of Us,"Action, Drama, Fantasy",5.4,TV-MA
Fred Claus,"Comedy, Family, Fantasy",5.6,PG
Free Fire,"Action, Comedy, Crime",6.4,R
Free State of Jones,"Action, Biography, Drama",6.9,R
Free Willy,"Adventure, Drama, Family",6.0,PG
Freeway: Crack in the System,"Documentary, Biography, Crime",7.1,R
Friday the 13th,"Horror, Mystery, Thriller",6.4,R
Friend Request,"Horror, Mystery, Thriller",5.3,R
From Paris with Love,"Action, Crime, Thriller",6.4,R
Froning: The Fittest Man in History,Documentary,6.7,PG
Fronteras,Drama,3.9,R
Frozen Planet,Documentary,9.0,TV-PG
Frozen River,"Crime, Drama",7.1,R
Fruitvale Station,"Biography, Crime, Drama",7.5,R
Fukrey,"Comedy, Drama, Romance",6.9,Not Rated
Full Out,"Biography, Drama, Family",6.4,TV-PG
Fullmetal Alchemist: Premium Collection,"Animation, Action, Adventure, Comedy, Fantasy",7.6,TV-PG
Fun Mom Dinner,Comedy,5.3,R
Furie,"Drama, Horror, Thriller",5.6,TV-MA
Furthest Witness,"Crime, Drama, Thriller",4.2,TV-MA
G-Force,"Animation, Action, Adventure",5.1,PG
Gabbar Is Back,"Action, Comedy, Crime",7.1,Not Rated
Gad Elmaleh: American Dream,Comedy,7.2,TV-14
Gaga: Five Foot Two,"Documentary, Music",7.0,TV-MA
Game of Thrones,"Action, Adventure, Drama",9.2,TV-MA
Game Over,"Drama, Mystery, Thriller",7.1,Not Rated
"Game Over, Man!","Action, Comedy",5.4,TV-MA
Gangaajal,"Action, Crime, Drama",7.8,Not Rated
Gangs of New York,"Crime, Drama",7.5,R
Garfield Gets Real,"Animation, Adventure, Comedy, Family, Fantasy",4.4,Not Rated
Garfield's Fun Fest,"Animation, Adventure, Comedy, Family, Fantasy",4.4,TV-Y7
Garfield's Pet Force,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",4.2,G
Garfunkel and Oates: Trying to Be Special,"Comedy, Music",7.4,TV-MA
Garuda di Dadaku,"Drama, Sport",6.7,TV-G
Gemini,"Crime, Drama, Mystery",5.4,R
Genius,"Biography, Drama",6.6,PG-13
George Lopez: We'll Do It for Half,Comedy,5.6,TV-MA
George of the Jungle 2,"Adventure, Comedy, Family",3.4,PG
Gerald's Game,"Drama, Horror, Thriller",6.5,TV-MA
Geronimo Stilton,"Animation, Adventure, Comedy",6.8,TV-Y7
Get Him to the Greek,"Comedy, Music",6.3,R
Get Me Roger Stone,"Documentary, Biography",7.3,TV-14
Get Santa,"Comedy, Family",6.3,PG
Get Smart,"Action, Adventure, Comedy",6.5,PG-13
Getting Played,"Comedy, Romance",4.7,PG-13
Ghayal,"Action, Crime, Drama",7.6,Not Rated
Ghost of the Mountains,Documentary,6.8,G
Ghost in the Shell Arise: Border 1 - Ghost Pain,"Animation, Action, Sci-Fi",7.1,TV-MA
Ghost Patrol,"Crime, Romance, Sci-Fi",4.6,Passed
Ghost Rider,"Action, Fantasy, Thriller",5.3,PG-13
Ghost Stories,"Drama, Horror",6.4,Not Rated
Ghost in the Shell Arise: Border 3 - Ghost Tears,"Animation, Action, Sci-Fi",7.2,TV-MA
Ghosts of War,"Horror, Thriller, War",5.6,R
Ghoul,"Drama, Fantasy, Horror",7.1,TV-MA
Ghulam-E-Musthafa,"Action, Crime, Drama",6.6,Not Rated
Gie,"Biography, Drama",7.6,Not Rated
Gigi,"Comedy, Musical, Romance",6.7,G
Gimme Shelter,"Documentary, Music, Thriller",7.8,GP
GIMS: On the Record,"Documentary, Music",6.9,TV-MA
Ginger,"Action, Crime, Drama",3.9,R
Ginny Weds Sunny,"Comedy, Drama, Romance",5.7,TV-MA
Girl,Drama,7.1,R
Girl on the Third Floor,"Drama, Horror, Mystery",4.6,TV-MA
Girlfriend's Day,"Comedy, Drama",5.2,TV-MA
Girls und Panzer,"Animation, Action, Comedy",7.5,TV-14
Giving Voice,Documentary,6.7,PG-13
Gnome Alone,"Animation, Adventure, Comedy",5.6,PG
God Bless the Broken Road,"Drama, Family, Romance",5.6,PG
God Knows Where I Am,"Documentary, Biography, Drama",7.3,Not Rated
God's Not Dead,Drama,4.7,PG
God's Not Dead: A Light in Darkness,Drama,4.5,PG
God's Own Country,"Drama, Romance",7.7,Not Rated
Godzilla,"Action, Adventure, Sci-Fi",6.4,PG-13
Goedam,"Short, Horror, Mystery",5.8,TV-MA
Going for Gold,"Drama, Family, Sport",4.8,Unrated
GoldenEye,"Action, Adventure, Thriller",7.2,PG-13
Goldie,Drama,5.8,TV-MA
Goldstone,"Crime, Thriller",6.5,R
Gollu Aur Pappu,Comedy,3.7,Not Rated
Golmaal Returns,"Comedy, Crime, Mystery",5.1,Not Rated
Gone Are the Days,"Drama, Western",5.2,R
Good Burger,"Comedy, Family",5.7,PG
Good Hair,"Documentary, Comedy",6.9,PG-13
Good Kids,"Comedy, Drama",6.1,R
Good Kill,"Drama, Thriller, War",6.4,R
Good Luck,"Comedy, Drama",6.3,R
Good Luck Chuck,"Comedy, Romance",5.6,R
"Good Night, and Good Luck.","Biography, Drama, History",7.4,PG
Good People,"Action, Crime, Thriller",5.5,R
Good Sam,Comedy,5.7,TV-PG
Good Time,"Crime, Drama, Thriller",7.4,R
Goodfellas,"Biography, Crime, Drama",8.7,R
Gook,Drama,7.0,Unrated
Goon,"Comedy, Drama, Sport",6.8,R
Goon: Last of the Enforcers,"Comedy, Sport",5.8,R
Goosebumps 2: Haunted Halloween,"Animation, Adventure, Comedy",5.6,PG
Gori Tere Pyaar Mein!,"Comedy, Drama, Romance",4.9,Not Rated
Gosford Park,"Comedy, Drama, Mystery",7.2,R
Gotham,"Action, Crime, Drama",7.8,TV-14
Gothika,"Horror, Mystery, Thriller",5.8,R
Gran Torino,Drama,8.1,R
Grand Masti,"Comedy, Drama, Thriller",4.4,Not Rated
Grand-Daddy Day Care,"Comedy, Family",4.9,PG-13
Grandmaster,"Action, Thriller",7.0,Not Rated
Grass,"Documentary, History",7.2,R
Grease,"Musical, Romance",7.2,PG
Greater,"Biography, Family, Sport",7.4,PG
Green Room,"Horror, Thriller",7.0,R
Greg Davies: You Magnificent Beast,Comedy,7.2,TV-MA
Grego Rossello: Disculpe Las Molestias,Comedy,4.4,TV-MA
Gridlocked,Action,5.8,R
The Grizzlies,"Biography, Drama",7.5,R
Growing Up Wild,Documentary,7.2,G
Guest House,Comedy,4.4,R
Guilty,"Drama, Thriller",5.4,TV-MA
Gumrah,"Action, Crime, Drama",6.2,Not Rated
Gunjan Saxena: The Kargil Girl,"Action, Biography, Drama",5.3,TV-14
Guru,Drama,7.7,Not Rated
Haani,"Family, Romance",7.0,Not Rated
